STOP_ID,HASTUS_CROSS_STREET_NAME,lat,lon,ROUTE_NUM
51471,null,null,null,H
57900,null,null,null,160
57901,null,null,null,160
57902,null,null,null,160
57903,null,null,null,160
58481,null,null,null,184
58500,null,null,null,184
58511,null,null,null,184
58512,null,null,null,184
992,null,null,null,101
992,null,null,null,102
992,null,null,null,111N
992,null,null,null,150
992,null,null,null,177N
25840,null,null,null,65
25860,null,null,null,65
25880,null,null,null,65
25890,null,null,null,65
27420,null,null,null,27
27420,null,null,null,60
27420,null,null,null,96N
27430,null,null,null,27
27480,null,null,null,27
35850,null,null,null,48
35860,null,null,null,48
35890,null,null,null,48
35910,null,null,null,48
37450,null,null,null,62
37460,null,null,null,62
37470,null,null,null,62
37480,null,null,null,62
37490,null,null,null,62
58513,null,null,null,184
58514,null,null,null,182
59340,null,null,null,150
59350,null,null,null,150
59353,null,null,null,906
59354,null,null,null,906
59356,null,null,null,906
59357,null,null,null,906
59358,null,null,null,153
59358,null,null,null,906
59359,null,null,null,906
59370,null,null,null,160
59370,null,null,null,906
997,null,null,null,162N
1010,null,null,null,111
1010,null,null,null,177
1040,null,null,null,101
1040,null,null,null,102
1040,null,null,null,111
1040,null,null,null,150
1040,null,null,null,177N
1040,null,null,null,212N
1040,null,null,null,218N
1050,null,null,null,212
1050,null,null,null,218
1050,null,null,null,545E
1889,null,null,null,975N
27500,null,null,null,27
27500,null,null,null,60
27500,null,null,null,96N
27510,null,null,null,27
27520,null,null,null,27
27530,null,null,null,27
27540,null,null,null,27
27560,null,null,null,27
29217,null,null,null,44
29219,null,null,null,44
29220,null,null,null,44
29222,null,null,null,44
37500,null,null,null,62
37510,null,null,null,62
37520,null,null,null,79
37530,null,null,null,79
37540,null,null,null,79
59380,null,null,null,160
59380,null,null,null,906
59974,null,null,null,102
59974,null,null,null,148
59976,null,null,null,102
59976,null,null,null,148
60001,null,null,null,148
60010,null,null,null,102
60010,null,null,null,148
1907,null,null,null,973
3400,null,null,null,36
3410,null,null,null,36
29223,null,null,null,44
29225,null,null,null,44
30538,null,null,null,131
30538,null,null,null,132
30550,null,null,null,131
30550,null,null,null,132
30570,null,null,null,131
30570,null,null,null,132
60526,null,null,null,903
60527,null,null,null,903
60528,null,null,null,903
60529,null,null,null,903
60531,null,null,null,903
60534,null,null,null,182
60537,null,null,null,182
61180,null,null,null,165
61180,null,null,null,A
3420,null,null,null,36
3430,null,null,null,36
3450,null,null,null,36
3470,null,null,null,36
3470,null,null,null,60
5790,null,null,null,5
5810,null,null,null,5
30590,null,null,null,131
30590,null,null,null,132
30600,null,null,null,131
30600,null,null,null,132
32100,null,null,null,60
40801,null,null,null,113
40802,null,null,null,113
40804,null,null,null,113
41902,null,null,null,43
41902,null,null,null,630
