STOP_ID,HASTUS_CROSS_STREET_NAME,XCOORD,YCOORD,ROUTE_LIST,lon,lat
81534,NE 88th St,1312672.6,251490.2,null,-122.16391567686371,47.681682621122846
81536,NE 93rd St,1312632.9,252322.1,null,-122.16413521819531,47.683961038171745
81538,NE 95th St,1312554.4,253191.0,null,-122.16451488057473,47.68633903450027
81540,NE 97th St,1312515.0,253638.0,null,-122.16470621519014,47.6875624254398
81542,NE 100th St,1312462.0,254455.5,null,-122.16497879768909,47.68980073805118
75249,N Perimeter Rd,1286399.4,343435.3,null,-122.2775606305114,47.93240706364594
75250,5th Ave NE,1273677.4,271312.0,null,-122.32375010221548,47.73405529660583
75251,Unnamed,1288058.5,343020.6,null,-122.27076224879423,47.93135554384415
75252,Boeing Access Rd,1289195.8,343014.9,null,-122.26612332676257,47.93139805916793
75253,Unnamed,1289510.5,341606.4,null,-122.26473295613653,47.92755347920492
75254,Perimeter Rd,1288312.6,335324.1,null,-122.26914017381445,47.91027279698331
75255,NE 131st Pl,1273671.3,268402.3,null,-122.32354593319494,47.726079594038296
75256,100th St SW,1287833.1,334189.7,null,-122.27100861174864,47.9071389149609
76017,120th Ave NE,1308469.4,285476.7,null,-122.18339678862695,47.77464100453591
76018,98th Ave NE,1301797.0,280252.0,null,-122.2101482585617,47.75999582795471
76019,120th Ave NE,1308514.9,285475.6,null,-122.1832116949696,47.7746401774016
76020,Main St,1301502.4,280224.7,null,-122.21134384784196,47.75990654299654
76021,102nd Ave NE,1303607.0,278910.1,null,-122.20269334833371,47.75640616266786
76022,Private Rd,1307092.2,277659.4,null,-122.18843705812348,47.753147059810416
81544,NE 102nd Pl,1312491.4,255088.8,null,-122.16490393376962,47.69153805339776
81546,NE 104th St,1312527.1,255755.3,null,-122.16480581966769,47.693366670940385
81844,NE 37th Way,1341434.3,239690.5,null,-122.04641353232046,47.65064138804049
81845,NE 37th Way,1338892.6,237394.6,null,-122.05657634742411,47.644237703034
81846,SE Issaquah-Fall City Rd,1345680.5,202720.2,null,-122.02686173359463,47.549482085316356
81847,SE 37th Pl,1346993.2,211892.5,null,-122.02212054892578,47.57468055659105
81848,SE 37th Pl,1346895.4,212058.0,null,-122.02252707704164,47.575130076949506
81849,SE Issaquah-Fall City Rd,1345745.3,202725.7,null,-122.0265997146293,47.549499916466736
81850,SE 62nd St,1343428.9,202191.1,null,-122.03594458577152,47.5479356436982
81851,SE 62nd St,1343432.7,202188.9,null,-122.03592906149473,47.547929775943295
81852,Sahalee Dr E,1341175.4,235046.7,null,-122.0471666468241,47.63790086139393
81853,The Heights Townhomes,1345022.8,202582.5,null,-122.02951598190144,47.549076633291385
81854,NE Redmond Fall City Rd,1337466.9,241558.1,null,-122.06262902931996,47.6555881554715
84069,64th Ave S,1288501.2,154086.8,null,-122.25472262995054,47.4135101094616
84070,S 204th St,1290172.1,156198.0,null,-122.24813212454815,47.41938135712375
84072,Access Rdwy,1290893.9,156176.0,null,-122.24521546724691,47.41935739412468
84074,64th Ave S,1288509.0,154135.6,null,-122.25469477287274,47.41364426606344
84100,194th Ave NE,1334281.8,277796.8,null,-122.07792909523242,47.75478264837831
84250,SE 8th St,1305565.5,222792.7,null,-122.19070854992142,47.60268053678271
84260,Bellefield Park Ln,1305146.8,221215.3,null,-122.19229256486686,47.5983365266239
84261,112th Ave SE,1305053.6,221075.2,null,-122.19266022703292,47.597947991416945
84262,Bellevue Way SE,1304502.5,219763.1,null,-122.19479945593402,47.59432473754346
84263,112th Ave SE,1305556.2,216974.5,null,-122.19033040284546,47.586732027664304
84264,112th Ave SE,1305519.7,217067.5,null,-122.19048493132549,47.5869851821987
84266,112th Ave SE,1305365.9,216765.4,null,-122.19108647088433,47.58614966963328
85640,108th Ave NE,1304079.4,226891.3,null,-122.19702582707875,47.61384302715801
85643,NE 4th St,1303619.4,226708.6,null,-122.1988773807252,47.61331987500745
76023,E Riverside Dr,1303304.6,279063.4,null,-122.20393364909442,47.75681160631524
76024,111th Ave NE,1307088.5,277656.3,null,-122.18845187516773,47.753138383958124
76025,220th St SE,1301624.0,294386.4,null,-122.21188088627231,47.79873013057036
76026,Private Rd,1306076.3,277524.9,null,-122.19255660336363,47.75272927583231
76028,Private Rd,1306080.3,277524.0,null,-122.192540280578,47.75272700256212
76029,E Riverside Pl,1305907.1,277562.8,null,-122.19324704629442,47.75282496704534
76030,E Riverside Pl,1305895.1,277565.4,null,-122.19329600765741,47.75283151244113
76850,63rd Ave NE,1289962.4,279926.3,null,-122.25823197174513,47.758512522593776
76860,65th Ave NE,1291254.9,279951.5,null,-122.25297992953935,47.758647078553835
76870,68th Ave NE,1292309.1,279785.6,null,-122.24868225240918,47.758245575790916
76880,73rd Ave NE,1293743.2,279406.6,null,-122.24282452097509,47.75727888630659
76889,77th Ct NE,1295236.1,279002.9,null,-122.23672616756392,47.75624713273851
76890,77th Ct NE,1295061.6,279049.3,null,-122.23743891244058,47.756365590218344
81855,SE 62nd St,1343083.6,202418.0,null,-122.03735697666224,47.548542810836764
82712,I-405 Exp Ramp,1307163.0,264701.0,null,-122.18722256498508,47.71763083957822
82716,NE 70th Pl,1306809.6,246762.4,null,-122.18737585719906,47.66844306031681
82718,SE 8th St,1307008.5,223067.1,null,-122.18487984651601,47.603502307863124
82720,106th Ave NE,1303539.3,225546.9,null,-122.19911849412482,47.610131691356685
82730,108th Ave SE,1304444.5,225520.5,null,-122.19544745998252,47.610103307949544
82735,110th Pl SE,1305109.5,225498.9,null,-122.19275040038598,47.61007633567353
82740,Main St,1305583.9,225322.4,null,-122.19081484516128,47.60961549465182
82741,Main St,1305586.0,225602.3,null,-122.19082634808053,47.610382819781066
82742,NE 2nd St,1305584.5,225982.3,null,-122.19085960219012,47.61142435122344
82749,SE 300 Block,1305577.1,224318.9,null,-122.1907706530792,47.60686450882464
82750,SE 300 Block,1305579.2,224576.1,null,-122.19078053163202,47.607569611865586
82760,SE 6th St,1305569.4,223385.0,null,-122.19073508938432,47.60430425732897
84068,Mink Rd NE,1338135.0,277783.5,null,-122.06226567116501,47.75491594843648
74028,NE 85th St,1321621.9,250956.6,null,-122.1275536359342,47.6806383614689
74029,NE 87th St,1322124.0,251038.1,null,-122.12552118463088,47.680884890861215
74030,NE 102nd Pl,1323980.7,254905.5,null,-122.11824697943423,47.69157103915922
74031,NE 116th St,1326765.0,259246.5,null,-122.1072349412308,47.70359705984081
74032,NE 113th Ct,1320649.3,258587.6,null,-122.13202413352518,47.70151072607072
74033,156th Ct NE,1320887.0,257245.3,null,-122.13096701607363,47.69784235163172
74034,159th Ave NE,1321627.9,257049.0,null,-122.12794532497428,47.69733848291977
74035,NE 106th St,1321932.6,256320.3,null,-122.12665843245429,47.695355092540225
74036,NE 105th Ct,1322049.5,255790.3,null,-122.12614765202447,47.69390769696741
74037,163rd Ave NE,1322651.9,255425.7,null,-122.12367708358666,47.69293600909154
74470,East Base AcRd,1309578.8,231658.5,null,-122.17506981407602,47.62717523080309
74472,130th Ave NE,1311741.7,231944.3,null,-122.16631985433654,47.62806166941235
74474,132nd Ave NE,1312306.5,231925.7,null,-122.16402838298325,47.628037481097614
74476,136th Pl NE,1313216.2,231902.0,null,-122.16033804695277,47.62801557937702
76900,80th Ave NE,1296107.5,278738.6,null,-122.23316457477098,47.75556618879861
76910,83rd Pl NE,1296902.0,278295.3,null,-122.2299024438939,47.75439066567443
76920,NE 175th St,1298302.0,277708.3,null,-122.22416881824303,47.7528511895011
76925,96th Ave NE,1301370.1,277283.2,null,-122.2116674715935,47.75183730050231
76930,Pedestrian Walk,1301282.9,277698.6,null,-122.21205214336035,47.75297164362903
